pmid,title,abstract,authors,journal,pub_date
35966590,Conquering oncogenic KRAS and its bypass mechanisms.,"Aberrant activation of KRAS signaling is common in cancer, which has catalyzed heroic drug development efforts to target KRAS directly or its downstream signaling effectors. Recent works have yielded novel small molecule drugs with promising preclinical and clinical activities. Yet, no matter how a cancer is addicted to a specific target - cancer's genetic and biological plasticity fashions a variety of resistance mechanisms as a fait accompli, limiting clinical benefit of targeted interventions. Knowledge of these mechanisms may inform combination strategies to attack both oncogenic KRAS and subsequent bypass mechanisms.",Hou P; Wang YA,Theranostics,{'Year': '2022'}
27109103,Arginine dependence of tumor cells: targeting a chink in cancer's armor.,"Arginine, one among the 20 most common natural amino acids, has a pivotal role in cellular physiology as it is being involved in numerous cellular metabolic and signaling pathways. Dependence on arginine is diverse for both tumor and normal cells. Because of decreased expression of argininosuccinate synthetase and/or ornithine transcarbamoylase, several types of tumor are auxotrophic for arginine. Deprivation of arginine exploits a significant vulnerability of these tumor cells and leads to their rapid demise. Hence, enzyme-mediated arginine depletion is a potential strategy for the selective destruction of tumor cells. Arginase, arginine deiminase and arginine decarboxylase are potential enzymes that may be used for arginine deprivation therapy. These arginine catabolizing enzymes not only reduce tumor growth but also make them susceptible to concomitantly administered anti-cancer therapeutics. Most of these enzymes are currently under clinical investigations and if successful will potentially be advanced as anti-cancer modalities.",Patil MD; Bhaumik J; Babykutty S; Banerjee UC; Fukumura D,Oncogene,"{'Year': '2016', 'Month': 'Sep', 'Day': '22'}"
24035503,The solitary pulmonary nodule in patients with previous cancer history: results of surgical treatment.,"The present study was carried out to evaluate the characteristics of solitary pulmonary nodule (SPN) in patients with previous cancer(s) and to analyse the outcome of its surgical treatment. We retrospectively analysed 131 patients with history of previous malignancy submitted to lung surgery for new identified SPN between January 2004 and December 2009. The diagnosis was metastasis in 65 patients, primary lung cancer in 57, benign lesion in 9. Primary lung cancers were significantly larger, had higher maxSUV at CT-PET scanning, occurred after a longer disease-free interval in patients older and with worse lung function when compared with metastatic lesions. Overall survival at 5-year was 67% for benign lesions, 62% for primary lung cancer, 48% for metastatic disease. Histological subtype, SPN diameter less than 2 cm and DFI >36 months were factors influencing long-term prognosis of metastatic patients. Histological subtype and pathological staging were factors influencing long-term outcome of primary lung cancer patients. Surgical resection of solitary pulmonary nodule is essential in patients with history of previous cancer to rule out benign lesions, to offer diagnostic confirmation and local control of the disease in metastatic tumours and to correctly stage and treat primary lung cancer.",Rena O; Davoli F; Boldorini R; Roncon A; Baietto G; Papalia E; Turello D; Massera F; Casadio C,European journal of surgical oncology : the journal of the European Society of Surgical Oncology and the British Association of Surgical Oncology,"{'Year': '2013', 'Month': 'Nov'}"
27846619,Identifying Gene Signature for the Detection of Ovarian Cancer Based on the Achieved Related Genes.,"The overall survival rate of ovarian cancer patients is still poor because of the difficulties encountered in detection, diagnosis and treatment. Here, we aim to systematically identify the genetic factors causing ovarian cancer and find the accurate diagnostic and therapeutic targets for ovarian cancer. We collected the known archived ovarian cancer-related genes from the databases used as the investigated targets and employed the minimum redundancy maximum relevance and random forest classification to identify the novel ovarian cancer-related genes in addition to the known ones. We further identified candidates as the markers for the detection of the ovarian cancer based on the gene expression data and then confirmed them by quantitative real-time PCR. We found out the genetic terms to interpret the mechanism of ovarian cancer. Based on those terms, we predicted 860 novel related genes as candidates. These candidates can act as expression biomarkers for clinical detection and they achieved a 100% accuracy. We verified 10 of them as the optimal biomarkers for detection in the expression data. We employed the features of achieved ovarian cancer-related genes to identify 860 novel ovarian cancer genes. We further validated 10 genes as biomarkers for detection of ovarian cancer.",Wang L; Wang L; Ma L; Liu J; Ma S,Gynecologic and obstetric investigation,{'Year': '2017'}
38602644,Heterogeneity and interplay: the multifaceted role of cancer-associated fibroblasts in the tumor and therapeutic strategies.,"The journey of cancer development is a multifaceted and staged process. The array of treatments available for cancer varies significantly, dictated by the disease's type and stage. Cancer-associated fibroblasts (CAFs), prevalent across various cancer types and stages, play a pivotal role in tumor genesis, progression, metastasis, and drug resistance. The strategy of concurrently targeting cancer cells and CAFs holds great promise in cancer therapy. In this review, we focus intently on CAFs, delving into their critical role in cancer's progression. We begin by exploring the origins, classification, and surface markers of CAFs. Following this, we emphasize the key cytokines and signaling pathways involved in the interplay between cancer cells and CAFs and their influence on the tumor immune microenvironment. Additionally, we examine current therapeutic approaches targeting CAFs. This article underscores the multifarious roles of CAFs within the tumor microenvironment and their potential applications in cancer treatment, highlighting their importance as key targets in overcoming drug resistance and enhancing the efficacy of tumor therapies.",Liu Q; Yao F; Wu L; Xu T; Na J; Shen Z; Liu X; Shi W; Zhao Y; Liao Y,Clinical & translational oncology : official publication of the Federation of Spanish Oncology Societies and of the National Cancer Institute of Mexico,"{'Year': '2024', 'Month': 'Oct'}"
26371559,Association of the recurrence of vocal leukoplakia with MDM2-309 variants over a 2-year period: a prospective study.,"MDM2-309 polymorphism variant genotypes decrease the risk of recurrence in vocal leukoplakia. The results of a previous study 2 years ago showed the effect of mouse double minute 2 homolog (MDM2) SNP309 polymorphisms in people with laryngeal carcinoma and vocal leukoplakia (a pre-cancerous laryngeal carcinoma lesion). This prospective, clinical trial was performed to assess the relationship between MDM2-309 polymorphism variants and recurrence/cancerization rates in people with vocal leukoplakia over a 2-year period. A total of 61 post-operative patients with vocal leukoplakia participated in this prospective, observational, 2-year, follow-up study, and were genotyped for the MDM2-309 gene using pyrosequencing. Recurrence and cancerization rates were used to assess the relationship between the clinical outcome and the genotype variants. The recurrence rate in the GT genotypes group was lower than that in the normal TT genotype group (17.2% vs 50%, p = 0.05) and there was a significantly lower recurrence rate in the GG genotype group than in the normal TT genotype group (10% vs 50%, p = 0.03). However, there was no statistically significant difference in the cancerization rate between the MDM2-309 variant (GT + GG) genotypes group and the normal TT genotype group (12.2% vs 8.3%, p > 0.05) over the 2-year follow-up period.",Zhou J; Yang Y; Zhang D; Zhou L; Liu F; Tao L; Lu LM,Acta oto-laryngologica,{'Year': '2016'}
21672615,Relationship between TP73 polymorphism (G4C14-A4T14) and cancer risk: a meta-analysis based on literatures.,"The tumor protein p73 (TP73) gene belongs to the TP53 gene family and functions in the induction of apoptosis or cell-cycle arrest. The TP73 polymorphism (G4C14-A4T14) has been reported and many studies have focused on the role of this polymorphism in various cancers. However, the data reported for most individual cancer types were limited and not able to support a convincible conclusion. Hence, in this study, we explored the relationship between TP73 polymorphism (G4C14-A4T14) and cancer risk by carrying out a comprehensive meta-analysis. Performing both the overall and subgroup meta-analyses with a total of 23 eligible studies (6635 cases and 7378 controls in all), we detected significant cancer risk variations in the overall analysis, as well as the subgroup analysis based on ethnicity for both Asians and Caucasians. In the subgroup analysis based on source of controls, significant associations were also observed in the hospital-based controls' subgroup yet not in the population-based controls' subgroup. Furthermore, in the subgroup analysis based on cancer types, significant associations were found in colorectal cancer's subgroup but not in other cancer types' subgroups. In summary, according to the results of our meta-analysis, the TP73 polymorphism (G4C14-A4T14) probably associates with cancer risk.",Yu XJ; Fang F; Xie J,Gene,"{'Year': '2011', 'Month': 'Sep', 'Day': '15'}"
26572704,ARID1A gene mutation in ovarian and endometrial cancers (Review).,"The AT-rich interacting domain‑containing protein 1A gene (ARID1A) encodes ARID1A, a member of the SWI/SNF chromatin remodeling complex. Mutation of ARID1A induces changes in expression of multiple genes (CDKN1A, SMAD3, MLH1 and PIK3IP1) via chromatin remodeling dysfunction, contributes to carcinogenesis, and has been shown to cause transformation of cells in association with the PI3K/AKT pathway. Information on ARID1A has emerged from comprehensive genome‑wide analyses with next‑generation sequencers. ARID1A mutations have been found in various types of cancer and occur at high frequency in endometriosis‑associated ovarian cancer, including clear cell adenocarcinoma and endometrioid adenocarcinoma, and also occur at endometrial cancer especially in endometrioid adenocarcinoma. It has also been suggested that ARID1A mutation occurs at the early stage of canceration from endometriosis to endometriosis‑associated carcinoma in ovarian cancer and also from atypical endometrial hyperplasia to endometrioid adenocarcinoma in endometrial cancer. Therefore, development of a screening method that can detect mutations of ARID1A and activation of the PI3K/AKT pathway might enable early diagnosis of endometriosis‑associated ovarian cancers and endometrial cancers. Important results may also emerge from a current clinical trial examining a multidrug regimen of temsirolimus, a small molecule inhibitor of the PI3K/AKT pathway, for treatment of advanced ovarian clear cell adenocarcinoma with ARID1A mutation and PI3K/AKT pathway activation. Also administration of sorafenib, a multikinase inhibitor, can inhibit cancer proliferation with PIK3CA mutation and resistance to mTOR inhibitors and GSK126, a molecular‑targeted drug can inhibit proliferation of ARID1A‑mutated ovarian clear cell adenocarcinoma cells by targeting and inhibiting EZH2. Further studies are needed to determine the mechanism of chromatin remodeling dysregulation initiated by ARID1A mutation, to develop methods for early diagnosis, to investigate new cancer therapy targeting ARID1A, and to examine the involvement of ARID1A mutations in development, survival and progression of cancer cells.",Takeda T; Banno K; Okawa R; Yanokura M; Iijima M; Irie-Kunitomi H; Nakamura K; Iida M; Adachi M; Umene K; Nogami Y; Masuda K; Kobayashi Y; Tominaga E; Aoki D,Oncology reports,"{'Year': '2016', 'Month': 'Feb'}"
11889819,[A case of bronchioloalveolar carcinoma diagnosed by a segmental resection].,"A 66-year-old man who underwent an extirpation of thymoma in stage I on September 16 1997 was followed in the outpatient clinic. In October 1998, a chest CT scan revealed a 2.0 x 1.0 cm faint frosted glass like shadow in the right S9. On September 13 1999, the patient was admitted to the hospital for close examination. Two times of transbronchial lung biopsy could not offer any clear diagnosis because the lesion was present so as to encircle the central segment of the B9 gronchus. A segmental resection (S9 + 10) under thoracotomy was performed. Intraoperative frozen section diagnosis was bronchioloalveolar carcinoma (type A according to Noguchi's classification), and a resection of the remnant lower lobe and mediastinal lymph nodes dissection (ND 2 a) were added. With expected increase in frequency of detecting early pulmonary cancer's through CT, clinical cases for which we are obliged to diagnosed the disease by segmental resection may increase, if the lesion develops in the vicinity of the hilum of lung like this case.",Umemori Y; Kotani K; Makihara S,Kyobu geka. The Japanese journal of thoracic surgery,"{'Year': '2002', 'Month': 'Mar'}"
22097704,"The Collaborative Stage Version 2 Data Validation Project, 2010.","The Collaborative Stage Data Collection System (CS), used to collect cancer information and derive stage values, was extensively revised in response to revisions in the American Joint Committee on Cancer's AJCC Cancer Staging Manual seventh edition, published in 2010. CSv2 was released to the cancer registry community for use in January 2010. In February 2010 the CSv2 Project management team authorized the data validation project to review the content and formatting of the data tables and make recommendations to the CSv2 mapping team for modifications to the tables. This article describes the review process, problems identified and resolved, and results: 1453 new codes, 340 converted codes, 301 codes marked for manual review, 6 new types of data tags, 3 new version numbers, changes in table notes, changes in construction of intermediate tables, and changes in tables which combine AJCC TNM components into stage assignments. The purpose of this article is to help software vendors, registry users, and data analysts understand the changes they will see as they implement the new version, CSv2:V0203. Also, as vendors, users, and analysts become aware of the complexities and limitations of the current system and processes, and the considerations involved in modifying the system, evident to those working on the project, it is hoped that the review presented in this article will inform ongoing discussions about the future management and development of the Collaborative Stage Data Collection System.",Collins EN,Journal of registry management,"{'Year': '2011', 'Season': 'Spring'}"
35704099,Conflicting views during gynecologic cancer care: a comparison of patients' and caregivers' perceptions of burden.,"This study describes the experiences of cancer caregivers and compares these experiences with patients' assessment of cancer's toll on their caregiver. Participants (16 patient-caregiver dyads) were recruited from a NCI cancer center of excellence in the northeastern United States. Patients were in treatment for ovarian (n = 7), uterine (n = 2), or endometrial (n = 7) cancers. Caregivers included 7 women and 9 men who described themselves as spouse/partner (n = 7), adult child (n = 4), sister (n = 2), parent (n = 1), nephew (n = 1), and friend (n = 1). Participants completed semi-structured individual interviews that focused on perceptions of caregiver burden or the impact of the patient's diagnosis on the caregiver specifically. Data were coded inductively to identify themes present within participants' responses. This process included open and axial coding. Two overarching themes emerged: (1) patient-caregiver agreement and (2) patient-caregiver disagreement. Patient-caregiver agreement included two subthemes: (1) weight gain and (2) weight loss. Patient-caregiver disagreement consisted of two subthemes: (1) differing perspectives of quantity and quality of caregiving provided and (2) withholding of caregiver concerns. Overall, there was 56% agreement between patient and caregiver responses. The results may inform intervention development to address patient-caregiver communication, cancer caregiver needs, and ultimately improve caregiver quality of life.",Catona D; Greene K; Venetis MK; Bontempo AC; de Meritens AB; Devine KA,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,"{'Year': '2022', 'Month': 'Sep'}"
11883525,Gene expression in inherited breast cancer.,"Large proportions of hereditary breast cancers are due to mutations in the two breast cancer susceptibility genes BRCA1 and BRCA2. Considerable effort has gone into studying the function(s) of these tumor suppressor genes, both in attempts to better understand why individuals with these inherited mutations acquire breast (and ovarian) cancer and to potentially develop better treatment strategies. The advent of tools such as cDNA microarrays has enabled researchers to study global gene expression patterns in, for example, primary tumors, thus providing more comprehensive overviews of tumor development and progression. Our recent study (Hedenfalk et al., 2001) strongly supports the principle that genomic approaches to classification of hereditary breast cancers are possible, and that further studies will likely identify the most significant genes that discriminate between subgroups and may influence prognosis and treatment. A large number of hereditary breast cancer cases cannot be accounted for by mutations in these two genes and are believed to be due to as yet unidentified breast cancer predisposition genes (BRCAx). Subclassification of these non-BRCA1/2 breast cancers using cDNA microarray-based gene expression profiling, followed by linkage analysis and/or investigation of genomic alterations, may help in the recognition of novel breast cancer predisposition loci. To summarize, gene expression-based analysis of hereditary breast cancer can potentially be used for classification purposes, as well as to expand upon our knowledge of differences between different forms of hereditary breast cancer. Initial studies indicate that a patient's genotype does in fact leave an identifiable trace on her/his cancer's gene expression profile.",Hedenfalk IA; Ringnér M; Trent JM; Borg A,Advances in cancer research,{'Year': '2002'}
6280219,Chemical heterogeneity of structural proteins of cancers with a common low electron spin resonance signal.,"Electron spin resonance measurements are presented for the separated structural and soluble components of a variety of both normal and cancerous tissues. The signal at g = 2 from the structural part of the normal tissues was at least an order of magnitude stronger than the corresponding signal from the structural part of the cancers. In contrast, no significant difference in radical concentration was found between the soluble fractions of normal and cancerous tissues. Despite their common low signal at g = 2, the structural cancer fractions displayed a remarkable chemical heterogeneity. An important finding was that even cancers of the same histology reacted differently from one another when treated with a variety of chemical probes.",Knock FE; Gascoyne PR,Physiological chemistry and physics,{'Year': '1981'}
36434139,The coming decade in precision oncology: six riddles.,"High-throughput methods to investigate tumour omic landscapes have quickly catapulted cancer specialists into the precision oncology era. The singular lesson of precision oncology might be that, for it to be precise, treatment must be personalized, as each cancer's complex molecular and immune landscape differs from patient to patient. Transformative therapies include those that are targeted at the sequelae of molecular abnormalities or at immune mechanisms, and, increasingly, pathways previously thought to be undruggable have become druggable. Critical to applying precision medicine is the concept that the right combination of drugs must be chosen for each patient and used at the right stage of the disease. Multiple puzzles remain that complicate therapy choice, including evidence that deleterious mutations are common in normal tissues and non-malignant conditions. The host's role is also likely to be key in determining treatment response, especially for immunotherapy. Indeed, maximizing the impact of immunotherapy will require omic analyses to match the right immune-targeted drugs to the individualized patient and tumour setting. In this Perspective, we discuss six key riddles that must be solved to optimize the application of precision oncology to otherwise lethal malignancies.",Wahida A; Buschhorn L; Fröhling S; Jost PJ; Schneeweiss A; Lichter P; Kurzrock R,Nature reviews. Cancer,"{'Year': '2023', 'Month': 'Jan'}"
10419593,Clonal analysis of a case of multifocal oesophageal (Barrett's) adenocarcinoma by comparative genomic hybridization.,"Oesophageal adenocarcinomas arising in Barrett's epithelium occasionally present as multiple lesions. This could be due to either a multifocal presentation of the same tumour, or different neoplasms arising simultaneously in a dysplastic Barrett's oesophagus ('field cancerization'). This is a report of the genetic analysis of multiple neoplastic sites in a Barrett's oesophagus with an extensive area of dysplasia. In addition, the dysplastic Barrett's epithelium was evaluated. For the genetic screening, comparative genomic hybridization (CGH) allowed evaluation of the whole genome of each specimen. Five cancerous regions were selected and subsequently dissected from paraffin-embedded tissue blocks. The use of archival materials enabled a targeted collection of representative tumour locations. Multiple genetic aberrations were detected by CGH in all cancer sites. Losses on 3p, 4, 7q, 18q, and Y, as well as gains on 8q, 9q, 12p, 13q, 17q, 20p and X, were found in each specimen. In four out of the five lesions, simultaneous losses on 9p, 15q, and 16q, with concomitant gains on 5p, 7q, and 10p, were disclosed by CGH. Adjacent high-grade dysplastic Barrett's mucosa shared the losses on 3p, 4, 7q, 9p, 18, and Y, as well as the gains on 5p, 7q, 13q, 17q, and X, thereby confirming its precursor status. Within this single and rare case of multifocal Barrett's adenocarcinoma, a monoclonal genotype was present. This must have been caused by an extensive outgrowth of a single tumour.",van Dekken H; Vissers CJ; Tilanus HW; Tanke HJ; Rosenberg C,The Journal of pathology,"{'Year': '1999', 'Month': 'Jul'}"
39334866,Exosomes: Key Factors in Ovarian Cancer Peritoneal Metastasis and Drug Resistance.,"Ovarian cancer remains a leading cause of death among gynecological cancers, largely due to its propensity for peritoneal metastasis and the development of drug resistance. This review concentrates on the molecular underpinnings of these two critical challenges. We delve into the role of exosomes, the nano-sized vesicles integral to cellular communication, in orchestrating the complex interactions within the tumor microenvironment that facilitate metastatic spread and thwart therapeutic efforts. Specifically, we explore how exosomes drive peritoneal metastasis by promoting epithelial-mesenchymal transition in peritoneal mesothelial cells, altering the extracellular matrix, and supporting angiogenesis, which collectively enable the dissemination of cancer cells across the peritoneal cavity. Furthermore, we dissect the mechanisms by which exosomes contribute to the emergence of drug resistance, including the sequestration and expulsion of chemotherapeutic agents, the horizontal transfer of drug resistance genes, and the modulation of critical DNA repair and apoptotic pathways. By shedding light on these exosome-mediated processes, we underscore the potential of exosomal pathways as novel therapeutic targets, offering hope for more effective interventions against ovarian cancer's relentless progression.",Shao M; Gao Y; Xu X; Chan DW; Du J,Biomolecules,"{'Year': '2024', 'Month': 'Sep', 'Day': '02'}"
23367734,[The role of medicinal herbs with anti-inflammatory properties in prevention and treatment of cancer].,"The association between chronic inflammation and carcinogenesis, as well as neoplastic progression, has been researched and is well-established. Being a central coordinator of immune responses, nuclear factor-kappa B (NFkappaB) signaling plays a critical role in cancer development and progression. The activation of the NFkappaB signaling pathway is highly monitored under normal conditions, and is mainly known as a key pathway in activation of immune responses. Constitutively active NFkappaB has been identified in most tumor cell lines, as well as in a wide variety of tumor tissues derived from cancer patients. Such activation may also affect the cancer's response to therapy, making it less susceptive to radio and chemo treatment. Hence, NFkappaB has become a target for inhibition by chemotherapeutic agents. Traditionally, medicinal herbs have been used to prevent and treat a variety of diseases, including cancer. In this article, we review several natural, herbal-derived compounds shown to have anti-inflammatory and anticancer activities mediated, at least in part, by NFkappaB signaling inhibition. Compounds of this sort may potentially serve as clinically effective anticancer treatments.",Berkovich L; Ron I; Earon G; Abu-Ghanem S; Rimmon A; Lev-Ari S,Harefuah,"{'Year': '2012', 'Month': 'Nov'}"
39032950,Deciphering the genetic and epigenetic architecture of prostate cancer.,"Prostate cancer, one of the most frequently diagnosed cancers in men, leads to significant mortality worldwide. Its study is important due to the complexity and diversity in its progression, highlighting the urgent need for improved therapeutic strategies. This chapter probes into the genetic and epigenetic factors influencing prostate cancer progression, underscoring the importance of understanding the disease's molecular fundamentals for the development of targeted therapies. It specifically reviews the role of key genetic mutations in genes such as Androgen Receptor, TP53, SPOP, FOXA1 and PTEN which are crucial for the disease onset and a progression. Furthermore, it examines the impact of epigenetic modifications, including DNA methylation and histone modification, which contribute to the cancer's progression by affecting gene expression and cellular behavior. Further, in this chapter we delve into the underlying signaling mechanism, the advancements in targeting genetic and epigenetic alterations in prostate cancer. These findings have revealed promising targets for therapeutic advancements, aiming to understand and identify promising avenues for future therapies. This chapter improves our current understanding of prostate cancer genetic and epigenetic landscape, emphasizing the necessity of advancing our knowledge to refine and expand treatment options for prostate cancer patients.",Nazir SU; Mishra J; Maurya SK; Ziamiavaghi N; Bodas S; Teply BA; Dutta S; Datta K,Advances in cancer research,{'Year': '2024'}
29926315,Combinatory low methylation statuses of SAT-α and L1 are associated with shortened survival time in patients with advanced gastric cancer.,"L1 and SAT-α are repetitive DNA elements that undergo demethylation in association with cancerization. Unlike L1 hypomethaylation, nothing is known regarding the prognostic implication of SAT-α hypomethylation alongside L1 hypomethaylaton in gastric cancers. Formalin-fixed paraffin-embedded samples from 492 cases of advanced gastric cancer were analyzed to determine their L1 and SAT-α methylation status using pyrosequencing methylation assay. L1 and SAT-α methylation statuses were correlated with clinicopathological parameters, including survival. L1 or SAT-α methylation levels were lower in gastric cancers with venous invasion or nodal metastasis than those without. L1 methylation was lower in gastric cancers with lymphatic emboli than in those with no lymphatic emboli, but was higher in gastric cancers with perineural invasion than in those with no perineural invasion. Multivariate survival analysis revealed that both tumoral L1 and SAT-α hypomethylations were found to correlate independently with OS (HR = 1.477; 95% CI 1.079-2.021 and HR = 1.394; 95% CI 1.011-1.922, respectively) and RFS (HR = 1.477; 95% CI 1.090-2.001 and HR = 1.516; 95% CI 1.106-2.078, respectively). Combined L1 and SAT-α hypomethylation turned out to correlate independently with OS (HR = 2.003; 95% CI 1.268-3.164) and RFS (HR = 2.226; 95% CI 1.411-3.510). Not only tumoral L1 hypomethylation, but also tumoral SAT-α hypomethylation was found to be independent prognostic parameters in patients with advanced gastric cancer. SAT-α methylation status can be used to further divide gastric cancers with L1 hypomethylation into subsets of gastric cancers with better and worse prognosis.",Kim Y; Wen X; Jeong S; Cho NY; Kim WH; Kang GH,Gastric cancer : official journal of the International Gastric Cancer Association and the Japanese Gastric Cancer Association,"{'Year': '2019', 'Month': 'Jan'}"
39993799,Accumulating Genetic Mutations from Primary to Secondary Biliary Tract Cancers: Analysis of Four Patients With Metachronous Biliary Tract Cancer Using Comprehensive Genomic Profiling.,"Metachronous biliary tract cancer (BTC) is a rare occurrence after curative resection of primary BTC. The genetic alterations and pathogenesis associated with metachronous BTC remain poorly understood. We analyzed four patients with metachronous BTC who underwent resection at the Nagoya University Hospital between 2010 and 2024. Gene panel examination was performed on both primary and secondary tumors using next-generation sequencing. The median interval between resection of the primary tumor and diagnosis of metachronous BTC was 24 months. Genetic alterations were observed in all paired primary and metachronous carcinomas. The number of genetic mutations was higher in metachronous lesions than in primary lesions. <i>CDKN2A</i> and <i>SMAD4</i> were the most frequently mutated genes in all metachronous lesions. Common genetic mutations between primary and metachronous lesions were confirmed in all four cases, suggesting a common clonal origin. This study demonstrated that characteristic genetic alterations and their accumulation play important roles in metachronous BTC. This suggests that the increasing burden of gene mutations may play a crucial role in the carcinogenesis of metachronous BTC. Further investigation is required to validate these findings and elucidate the underlying molecular mechanisms.",Kokuryo T; Koike Y; Yamaguchi J; Sunagawa M; Baba T; Watanabe N; Onoe S; Mizuno T; Ebata T,Cancer genomics & proteomics,"{'Year': '2025', 'Season': 'Mar-Apr'}"
25814159,From bench to bedside: bipolar androgen therapy in a pilot clinical study.,"Prostate cancer remains a leading cause of cancer death in Europe and the United States and is an emerging problem in Asia despite significant improvements in available treatments over the last few decades. Androgen deprivation therapy (ADT) has been the core treatment of advance-staged disease since the discovery of prostate cancer's androgen dependence in 1941 by Huggins et al. [1] Options for initial medical treatment include gonadotropin-releasing hormone analogues such as leuprolide (LHRH agonist) and degarelix (LHRH antagonist) and androgen receptor (AR) binding agents such as bicalutamide. Although most patients will initially respond to either surgical or medical castration, there is almost always progression to castration-resistant prostate cancer (CRPC) necessitating treatment with more novel agents. [2] However, even drugs such as abiraterone and enzalutamide, two next-generation agents used commonly in metastatic CRPC, have failed to demonstrate persistent efficacy in most patients. [3] ,[4].",Zhang Q; Gray PJ,Asian journal of andrology,"{'Year': '2015', 'Season': 'Sep-Oct'}"
9036861,Expression of high-mobility group-1 mRNA in human gastrointestinal adenocarcinoma and corresponding non-cancerous mucosa.,"An 1194-nucleotide complementary DNA clone, FM1, encoding a human high-mobility group-1 protein (HMG-1) was isolated from a well-differentiated human gastric-carcinoma cell line complementary DNA library by a differential screening method. FM1 is similar to the published human HMG-1 in mature protein, with only 3 different codons at positions 11, 149, and 190. We analyzed 33 gastric and colorectal adenocarcinomas for expression of the FM1 gene. Northern-blot analysis revealed that all of the cancers expressed FM1 at a higher level than in corresponding non-cancerous mucosa, with 2 transcripts of approximately 1.4 and 2.4 kilobases. The FM1 expression level in the non-cancerous tissues increased with the depth of accompanying cancer invasion. Only 18.2% of well-differentiated cancers showed a higher expression level in corresponding non-cancerous tissues, whereas the expression in corresponding non-cancerous tissues was significantly higher in moderately (60%) and poorly differentiated (83.3%) cancers. In situ hybridization demonstrated the location of FM1 mRNA in well- and poorly differentiated gastric-cancer cells as well as in non-cancerous tissue adjacent to poorly differentiated gastric cancer, but no hybridization was detected in normal epithelial cells adjacent to well-differentiated gastric cancer. These findings may provide new information on HMG-1 mRNA expression in human gastrointestinal cancer and suggest a correlation between FM1 mRNA expression to the differentiation and the stage of human gastrointestinal adenocarcinomas.",Xiang YY; Wang DY; Tanaka M; Suzuki M; Kiyokawa E; Igarashi H; Naito Y; Shen Q; Sugimura H,International journal of cancer,"{'Year': '1997', 'Month': 'Feb', 'Day': '20'}"
23672234,Employers' role in cancer prevention and treatment-developing success metrics for use by the CEO Roundtable on Cancer.,"As evidence accumulates on the risk factors for cancer, it is becoming clearer that employers can play a significant role in the fight against the disease by creating a workplace conducive to lowering health risks. The CEO Roundtable on Cancer's CEO Cancer Gold Standard Program defines what companies can do to prevent cancer, detect it early, and ensure access to the best available treatments for those who are afflicted with the disease. This article describes how Johnson & Johnson incorporated the Cancer Gold Standard Program into its existing health promotion initiatives. Then, a framework is proposed that employers can use to monitor progress in cancer prevention and treatment enhancement efforts. Finally, health care eligibility, claims, and health risk assessment data are analyzed to quantify Johnson & Johnson's progress since implementation of the Cancer Gold Standard Program. Companies interested in initiating or furthering their health promotion efforts should consider joining groups such as the CEO Cancer Gold Standard. Collectively, companies have the ability to influence policy makers, payers, and the industry at large in changing behaviors and creating a culture of health and wellness in the fight against cancer.",Henke R; Goetzel RZ; McHugh J; Gorhan D; Reynolds M; Davenport J; Rasmussen K; Isaac F,Population health management,"{'Year': '2013', 'Month': 'Oct'}"
12019681,The IARC monographs program: changing attitudes towards public health.,"From its outset, the International Agency for Research on Cancer's (IARC's) program for the evaluation of carcinogenic risks for humans had to resist strong direct and indirect pressures from various sources to protect its independence. External experts for Monographs working groups were selected on the basis of competence and the absence of conflicts of interest. The IARC did not use unpublished or confidential data, so readers could access the original information and thus follow the groups' reasoning. The strength of the original program lay in its scientific integrity and its transparency. Since 1994, however, the IARC appears to have attributed less importance to public health-oriented research and primary prevention, and the Monographs program seems to have lost some of its independence. Criteria for evaluating carcinogenicity related to mechanism(s) of action are not necessarily used as originally intended, to ensure better protection of public health. Evidence for carcinogenicity provided by the results of experimental bioassays has been disregarded on the basis of only suggested mechanistic hypotheses. If tests show those hypotheses to be incorrect, or if they do not account adequately for the wide range of susceptibility in humans, serious consequences for public health may follow.",Tomatis L,International journal of occupational and environmental health,"{'Year': '2002', 'Season': 'Apr-Jun'}"
2799155,[Vernes/Augusti cancer assessment. Documentation 17].,"The principles are: Determination of mucopolysaccharides, expressed as weight of mannose-galactose per liter of serum. Because of the non-specificity of this test in cancers, it is combined with other ""more specific tests of the inflammatory condition"" (orosomucoids and seromucoids). The floculation reaction of proteins through acidified copper acetate provokes the formation in the serum of a precipitate containing mainly beta and gamma globulins, frequently found in the blood of cancer patients, not specific to that condition but nevertheless ""providing information on the development of cancers"". Originally this test was used as a method of cancer diagnosis but, according to Augusti, it is now to be considered as nothing more than ""a means of following up a cancerous state under the effect of treatment"". The set of tests amounts to sFr. 150.-, to be repeated every six weeks. The cancerometry has been developed in the thirties by Dr. Alfred Vernes and was used as method of very approximate testing of the hepatic functions. The main promoter is at present Dr. Augusti in Paris. Augusti, in a study on the results obtained in his laboratory during one year (20,000 various examinations), claims to have found differing histograms in healthy and cancerous subjects: ""The two reactions assume a correct method of observing the cancerous state."" Up to now no clinical trials have been published.",Jallut O,Schweizerische Rundschau fur Medizin Praxis = Revue suisse de medecine Praxis,"{'Year': '1989', 'Month': 'Aug', 'Day': '02'}"
